,,,,Passing,,,,,Rushing,,,,Total Offense,,,First Downs,,,,Penalties,,Turnovers,,
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Miami (FL),13,43.9,25.2,37.6,67.1,348.2,3.2,33.3,188.9,5.7,2.3,70.9,537.2,7.6,14.9,10.3,1.8,27,6.6,67.5,0.6,0.6,1.2
2,Indiana,13,41.3,18.9,27.8,68.1,261.3,2.5,37.8,165.1,4.4,2.8,65.5,426.4,6.5,11.9,10,1.6,23.5,4.8,43.9,0.2,0.5,0.7
3,Ole Miss,13,38.6,22.7,33.4,68,350.8,2.4,38.5,175.7,4.6,2.2,71.8,526.5,7.3,13.5,9.9,1.3,24.8,7.2,72,0.5,0.5,1
4,Texas Tech,13,37.6,25.8,41.2,62.7,296.7,2.4,36.5,166,4.6,2,77.7,462.7,6,13.4,9.5,1.6,24.5,7.3,60.9,0.8,0.8,1.6
5,Boise State,14,37.3,18.6,29.6,62.9,225.6,1.6,39.6,240.4,6.1,3.1,69.3,466,6.7,11,10.9,1.6,23.4,5.4,46.2,0.4,0.5,0.9
6,Washington State,13,36.6,20.2,30.7,65.9,276.1,2.5,36.2,166.8,4.6,2.2,66.8,442.8,6.6,11.8,9.1,2,22.9,6.2,57.8,0.4,0.7,1.1
7,Louisville,13,36.5,20.8,32.8,63.5,264.1,2,32.8,185.2,5.7,2.2,65.6,449.2,6.8,11.2,8.5,1.5,21.2,6.2,49.4,0.4,0.5,0.8
8,SMU,14,36.5,19.9,31.1,63.8,261.9,2,38.7,167.6,4.3,2.1,69.9,429.5,6.1,11.4,9.5,1.9,22.8,8.1,77.7,0.9,0.9,1.7
9,Texas State,13,36.5,23,32.9,69.9,268.7,2.4,40.7,208.2,5.1,2.1,73.6,476.9,6.5,12.4,12.1,1.6,26.1,6.8,64.2,0.7,1.1,1.8
10,Notre Dame,16,36.1,18.5,27.8,66.5,198.1,1.5,35.5,200.9,5.7,2.8,63.3,399.1,6.3,9.4,9.2,1.8,20.4,5.8,50.9,0.4,0.5,0.9
11,Jacksonville State,14,36,13.5,22.4,60.2,190.4,1,46.1,251.2,5.4,3.6,68.6,441.6,6.4,7.6,12.8,2.4,22.7,5.9,57.7,0.6,0.5,1.1
12,Memphis,13,35.7,23.8,36.8,64.7,270.5,1.9,34.5,174.1,5.1,2.5,71.3,444.5,6.2,11.5,9.4,2.2,23.1,5.3,48,0.2,0.5,0.6
13,Ohio State,16,35.7,20.3,28.4,71.4,263,2.3,33.4,166.4,5,2.1,61.8,429.4,6.9,11.4,8.4,0.9,20.8,4.5,40.8,0.4,0.6,1
14,Tennessee,13,35.7,18.2,28.8,63.1,221.2,1.6,44.9,225.8,5,2.6,73.7,447,6.1,10.4,11.6,1.4,23.4,8.1,66.8,0.6,0.5,1.2
15,UNLV,14,35.4,12.7,22.1,57.6,172.6,1.8,44.5,243.5,5.5,2.1,66.6,416.1,6.3,7.6,11.9,1.7,21.1,5.6,49.2,0.2,0.4,0.6
16,Tulane,14,35.1,14.8,23.5,62.9,209.4,1.8,40.5,195.6,4.8,2.3,64,405,6.3,8.5,10.5,1.8,20.8,6.1,50.1,0.4,0.6,1.1
17,Oregon,14,34.9,23.9,32.9,72.8,279.5,2.1,35.6,157.9,4.4,2.1,68.5,437.4,6.4,12.5,9.1,1.5,23.1,5.3,41.4,0.4,0.4,0.8
18,Clemson,14,34.7,23.6,38.1,62.1,278.5,2.6,33.8,173.4,5.1,1.6,71.9,451.9,6.3,12.1,9.9,2,24.1,4.9,47.6,0.2,0.5,0.7
19,Baylor,13,34.4,19.5,31.8,61.3,261.3,2.4,37.8,178.8,4.7,1.9,69.5,440.1,6.3,12.1,9.1,1.8,23,6.2,60.4,0.4,0.8,1.2
20,South Alabama,13,34.4,19.5,30.1,65,243.5,1.6,34.5,198.7,5.8,2.5,64.6,442.2,6.8,10.3,10.1,1.2,21.6,8.2,71.3,0.5,0.5,0.9
21,Syracuse,13,34.1,30.2,46,65.7,370,2.6,30.9,97.6,3.2,1.7,76.9,467.6,6.1,17.8,6.5,1.8,26,7.1,59.2,0.2,0.9,1.2
22,Alabama,13,33.8,17.4,27.2,63.8,236.4,1.3,37.5,173.8,4.6,3.2,64.8,410.2,6.3,9.8,9.7,1.4,20.8,7.3,69.1,0.8,0.8,1.6
23,New Mexico,12,33.5,18.8,32.5,57.9,230.7,1,38,253.6,6.7,3.1,70.5,484.3,6.9,10.4,12.4,2,24.8,9.3,81.5,0.6,1,1.6
24,North Texas,13,33.5,27.2,43.2,62.8,328.2,2.5,29.5,160.6,5.4,1.8,72.8,488.8,6.7,14.5,6.7,2.6,23.8,7,59.5,0.6,1.1,1.7
25,TCU,13,33.5,25.1,37.5,66.8,312.9,2.2,30.8,113.9,3.7,2,68.3,426.8,6.2,13.5,7.7,1.4,22.5,5.6,53.2,0.8,0.8,1.7
26,James Madison,13,33.3,17.8,29.4,60.7,216.1,2.2,40,191.5,4.8,1.5,69.4,407.6,5.9,9.4,10,1.3,20.7,7,54.5,0.4,0.3,0.7
27,UTSA,13,33.2,24.4,39.2,62.3,283.5,2.1,37.7,167.7,4.4,1.6,76.8,451.2,5.9,12.2,7.5,1.8,21.5,8.7,81.1,0.6,1,1.6
28,Penn State,16,33.1,18.3,27.3,66.8,227.9,1.9,38.4,202.3,5.3,2.2,65.8,430.2,6.5,11.1,10.5,1.4,22.9,5.3,50.3,0.3,0.6,0.9
29,Texas,16,33,22.3,33.8,66,278.8,2.5,36.6,158.8,4.3,1.6,70.4,437.5,6.2,11.8,8.6,1.8,22.1,6.4,51.8,0.8,0.9,1.6
30,Arizona State,14,32.9,16.7,27.3,61.3,229.5,1.9,42.2,199.9,4.7,2.1,69.5,429.4,6.2,9.6,11.1,1.8,22.5,6.4,53.6,0.2,0.4,0.6
31,Colorado,13,32.9,27.2,37.1,73.2,318,2.8,26.2,65.2,2.5,1.2,63.3,383.2,6.1,13.2,4.8,2.4,20.4,7.7,67.8,0.4,0.8,1.2
32,Pitt,13,32.9,23.2,38.5,60.4,266.9,2.2,32.4,141.8,4.4,1.2,70.8,408.7,5.8,12.2,7.8,3.2,23.2,7.1,61.4,0.3,1.2,1.5
33,South Florida,13,32.2,20.2,34.1,59.1,227.5,1.2,37.8,180.2,4.8,2.6,71.9,407.7,5.7,10,8.2,2.2,20.4,8.1,70.9,0.6,0.8,1.4
34,East Carolina,13,32,19.8,32.9,60.3,264,2,36.2,172.4,4.8,1.8,69.2,436.4,6.3,11.6,8.7,1.7,22,7.6,63.6,0.5,1.8,2.3
35,Connecticut,13,31.9,17.1,30.5,56.1,198.4,1.9,39.7,199.2,5,1.8,70.2,397.6,5.7,8.8,9.3,2.5,20.6,5.3,52.7,0.5,0.7,1.2
36,Utah State,12,31.9,24.5,38.2,64.2,269.1,2.4,35.2,198.6,5.6,1.8,73.3,467.7,6.4,11.7,9,1.8,22.5,7.8,73.8,0.4,1.4,1.8
37,Marshall,13,31.8,14.9,25.6,58.3,181.1,2.1,39.2,201.7,5.2,1.6,64.8,382.8,5.9,7.8,10.5,1.6,19.8,5.4,43.5,0.5,0.3,0.8
38,Georgia,14,31.5,24,36.6,65.5,281,2.1,30.6,124.4,4.1,1.7,67.3,405.4,6,12.9,7.3,1.6,21.9,5.7,53.6,0.5,0.9,1.4
39,Navy,13,31.3,7.6,13.8,55.3,123.8,1.2,45.5,247.5,5.4,2.9,59.3,371.3,6.3,4.8,11.4,0.8,17,5.1,45,0.6,0.5,1.1
40,Brigham Young,13,31.2,16.7,29.2,57.3,231.3,1.6,35.2,161,4.6,1.5,64.3,392.3,6.1,10.8,9.8,1.6,22.2,5.1,43.2,0.5,1.1,1.6
41,Army,14,31.1,4.7,8.7,54.1,80.6,0.7,54.6,300.5,5.5,3.4,63.3,381.1,6,3.1,16.4,1.3,20.9,3.2,31.5,0.4,0.3,0.6
42,Iowa State,14,31.1,19.8,33.8,58.6,255.7,1.8,36.9,160.5,4.4,1.9,70.6,416.2,5.9,11.4,8.7,2.5,22.6,3.8,28,0.4,0.7,1.1
43,Arkansas,13,30.9,19.6,31.8,61.6,274.7,1.2,38,184.8,4.9,2.6,69.8,459.5,6.6,11.5,11.5,1.2,24.2,7.2,59.8,1.1,0.7,1.8
44,Louisiana,14,30.9,19.2,29.4,65.3,248.7,1.6,34.6,166.4,4.8,1.9,64,415.1,6.5,10.7,8.1,1.9,20.7,5.9,48.8,0.1,0.6,0.8
45,North Carolina,13,30.9,17.7,30.2,58.7,224.4,1.4,38.2,182.3,4.8,2,68.3,406.7,6,9.4,9.6,2,21,7.5,64,0.6,0.7,1.3
46,Kansas State,13,30.8,17.1,29.5,58,211.4,1.9,35.5,215.5,6.1,1.6,64.9,426.8,6.6,9.2,10.2,0.8,20.3,5.5,45.7,0.5,0.8,1.2
47,LSU,13,30.5,26.5,41.1,64.4,315.2,2.2,28.7,116.4,4.1,1.2,69.8,431.5,6.2,15.2,6.1,2.3,23.5,6.3,49.6,0.4,0.9,1.3
48,South Carolina,13,30.5,17.2,26.3,65.5,223.4,1.6,42.4,184.4,4.4,2,68.7,407.8,5.9,9.6,10.3,1.6,21.5,6.7,58,1.1,0.5,1.6
49,Texas A&M,13,30.4,16.6,27.8,59.8,210.3,1.5,40.5,195.5,4.8,2.1,68.2,405.8,5.9,10.2,9.7,1.6,21.5,7.5,66.3,0.3,0.8,1.2
50,UCF,12,30.4,15.1,25.9,58.2,199.7,1.2,43,248.1,5.8,2.8,68.9,447.8,6.5,8.6,13.5,1.5,23.6,6.5,54.4,0.7,0.9,1.6
51,USC,13,30.2,25.8,41.1,62.7,291.9,2.2,28.2,145.3,5.2,1.5,69.2,437.2,6.3,14,7.7,1.6,23.3,5.8,51.4,0.5,1.2,1.6
52,Kansas,12,29.7,14.7,25.5,57.5,208.8,1.3,38.3,211.4,5.5,2.4,63.8,420.2,6.6,9,11.1,1.4,21.5,4.5,38.7,0.4,1,1.4
53,Ohio,14,29.3,15.5,24.6,62.9,192.4,1.1,41,213.1,5.2,2.5,65.6,405.6,6.2,8.7,11.1,2.1,22,5.6,45.5,0.7,0.9,1.6
54,West Virginia,13,29.2,17.4,28.5,60.9,210.3,1.5,40.7,193.7,4.8,2.1,69.2,404,5.8,9.8,10.8,1.9,22.6,4.4,34.3,0.4,1.1,1.5
55,Georgia Tech,13,28.9,20.7,31.7,65.3,237.5,1.3,37.8,187,5,2.2,69.5,424.5,6.1,10.6,9.7,1.3,21.6,5.4,43.3,0.2,0.5,0.8
56,Missouri,13,28.9,19.2,31.1,61.9,225.1,1.1,39.8,164.5,4.1,2,70.9,389.5,5.5,9.2,10.5,1.5,21.2,5.6,50.6,0.3,0.4,0.7
57,Rutgers,13,28.9,16.4,30.4,53.9,207.4,1.4,39.8,175.3,4.4,2.2,70.2,382.7,5.5,10.1,9.9,2.5,22.5,4,34.2,0.2,0.5,0.7
58,Western Michigan,13,28.9,16.3,24.8,65.6,187,1.4,37.2,183,4.9,2.2,62.1,370,6,8.7,9.4,1.4,19.5,4.2,39.2,0.3,0.7,1
59,Buffalo,13,28.8,14.9,26.7,55.9,186.3,1.5,41,169.1,4.1,1.8,67.7,355.4,5.3,7.9,9.2,1.4,18.5,4.5,43.4,0.5,0.5,1
60,Liberty,12,28.8,13.1,24.1,54.3,167.8,1.3,45.2,250.7,5.5,2.3,69.3,418.5,6,7.5,13.8,1.8,23.1,6.8,66.1,0.9,0.6,1.5
61,Coastal Carolina,13,28.7,15,27.6,54.3,201.2,1.5,37.2,172.5,4.6,1.6,64.8,373.7,5.8,7.9,8.4,1.8,18.1,6.9,63.8,0.5,0.8,1.3
62,North Carolina State,13,28.5,19.6,30.1,65.2,232.6,1.6,32.4,145.2,4.5,1.6,62.5,377.8,6,10.5,7.3,2.3,20.2,5.1,47.8,0.8,1,1.8
63,San Jose State,13,28.4,24.3,42.5,57.2,321.8,2.4,24.9,88.1,3.5,1,67.4,409.8,6.1,13.8,5.5,2.5,21.8,7,60.3,1,1.2,2.2
64,Florida,13,28.3,16,26.3,60.8,225.7,1.4,35.5,161.2,4.5,2,61.8,386.9,6.3,9.2,8.7,1.4,19.2,5.9,54,0.4,1.1,1.5
65,Illinois,13,28.3,16.4,27.2,60.3,211.2,1.7,34.8,153.6,4.4,1.7,61.9,364.8,5.9,9.8,8.5,2.2,20.4,5.2,40.2,0.6,0.5,1.1
66,Toledo,13,28.3,21.2,34.8,60.9,254.2,2.2,33.5,115.7,3.4,1,68.4,369.9,5.4,11.1,6.2,2.5,19.8,6.4,56.8,0.8,0.6,1.5
67,Boston College,13,28.2,15.9,25.4,62.7,199.3,1.8,40.7,166.1,4.1,1.8,66.1,365.4,5.5,8.6,8.8,1.8,19.3,4.5,43.1,0.7,0.5,1.2
68,Virginia Tech,13,28.2,15.4,26.1,59,189.4,1.2,37.8,178.4,4.7,2.2,63.9,367.8,5.8,7.8,8.8,1.9,18.5,5.7,48.8,0.6,0.7,1.3
69,Georgia Southern,13,28,22.2,34.3,64.8,237.8,1.6,34.4,127.6,3.7,1.8,68.7,365.4,5.3,10.7,8.4,2.7,21.8,5.6,48.3,0.8,0.8,1.7
70,Old Dominion,12,28,16.3,27.8,58.6,192.9,1.4,40.1,209.8,5.2,2.3,67.8,402.7,5.9,8.8,9.7,1.2,19.7,6.2,54.2,0.9,0.8,1.7
71,Auburn,12,27.8,19.2,30.8,62.3,263.9,2.3,33.7,165.5,4.9,1.1,64.4,429.4,6.7,10.6,9,1.4,21,5.8,49.3,0.8,1.1,1.8
72,Iowa,13,27.7,12.5,20,62.7,131.6,0.8,38.5,197.2,5.1,2.3,58.5,328.8,5.6,6.3,9,1.4,16.7,3.2,29.8,0.3,0.6,0.9
73,Vanderbilt,13,27.3,13.8,23.4,58.9,178.6,1.6,36.5,139.8,3.8,1.4,59.9,318.4,5.3,8.2,8.1,1.9,18.2,5.6,54.4,0.2,0.3,0.5
74,Oklahoma State,12,27.2,22.3,37.4,59.5,262.3,1.8,29.8,111.8,3.7,1.6,67.3,374,5.6,12.1,6.8,1.6,20.4,5,43.4,0.5,1.4,1.9
75,Bowling Green State,13,27.1,21.2,32.2,65.9,240.6,1.5,32.7,136.8,4.2,1.5,64.9,377.4,5.8,10.9,7.6,1.3,19.8,5.3,45.8,0.4,0.5,0.8
76,Appalachian State,11,26.6,19.8,35.6,55.6,273,2.1,35.2,153.8,4.4,1.2,70.8,426.8,6,12.2,9.5,2.2,23.8,6,56.9,0.5,1.5,2
77,Duke,13,26.3,21.5,35.9,60,244.3,2.2,29.3,92.5,3.2,1,65.2,336.8,5.2,10.8,4.6,2.2,17.6,5.2,50.1,0.5,1,1.5
78,Florida International,12,26.3,17.2,27.8,61.7,229.4,2,33.4,120.6,3.6,1.3,61.3,350,5.7,9.9,6.4,1.6,17.9,5.5,47.4,0.7,0.9,1.6
79,Minnesota,13,26.2,21,31.7,66.3,222.2,1.5,31.1,115.6,3.7,1.4,62.8,337.8,5.4,11,7.2,2.2,20.4,4.8,37.5,0.5,0.5,0.9
80,UAB,12,26.2,23.7,37.2,63.7,261.6,2,32.6,130.9,4,0.8,69.8,392.5,5.6,11.4,8.3,1.9,21.7,8.2,73.8,0.8,1.3,2.1
81,Fresno State,13,26.1,23.1,33.2,69.4,242.5,1.5,29.5,98.2,3.3,1.6,62.7,340.6,5.4,10.8,5.6,2.4,18.8,6.2,54.7,0.2,1.1,1.3
82,Troy,12,26,17.8,28.3,62.8,213,1.8,36.3,156.2,4.3,1.4,64.6,369.2,5.7,10.1,8.8,1.5,20.3,6.7,58.8,0.6,0.8,1.3
83,Eastern Michigan,12,25.9,20.8,34.7,59.9,236,1.4,39.8,141.8,3.6,1.4,74.4,377.8,5.1,10.8,8.5,2.3,21.5,6.4,62,0.6,0.8,1.4
84,Florida Atlantic,12,25.9,17.1,29.2,58.6,208.6,1.2,38.2,189,5,2,67.3,397.6,5.9,9.3,8.5,1.7,19.5,6.6,51.6,0.6,0.9,1.5
85,Arkansas State,13,25.8,21.1,34,62,227.5,1.5,37.5,156.9,4.2,1.4,71.5,384.4,5.4,11.1,8.7,2.1,21.8,5.6,51.7,0.6,0.8,1.4
86,Mississippi State,12,25.8,17.9,30.7,58.4,239.3,1.6,34.9,137.9,3.9,1.6,65.6,377.2,5.8,10.2,7.8,2.3,20.3,6.8,60.3,0.8,0.7,1.5
87,Wake Forest,12,25.7,20.7,33.7,61.4,240.1,1.4,37,130.6,3.5,1.5,70.7,370.7,5.2,11.3,7.8,2.7,21.8,5.1,45.9,0.7,1.1,1.8
88,Ball State,12,25.3,23.3,36.6,63.8,245,2.2,31.1,102.8,3.3,0.8,67.7,347.8,5.1,11.2,7.2,1.9,20.3,4.9,45.3,0.3,0.9,1.2
89,Cincinnati,12,25.2,21,32.9,63.8,236.5,1.5,35.6,184.1,5.2,1.6,68.5,420.6,6.1,11.7,9,1.4,22.1,5.3,44.4,0.9,0.6,1.5
90,California,13,25.1,23.2,35.7,65.1,258.6,1.2,34.2,121.5,3.6,1.3,69.8,380.2,5.4,11.9,7.1,1.9,20.9,7.4,59.7,0.3,0.5,0.8
91,Tulsa,12,25,20.7,36.5,56.6,238.6,1.9,37.6,151.1,4,0.9,74.1,389.7,5.3,10.2,7.6,2.8,20.6,5.9,51,0.8,1,1.8
92,Western Kentucky,14,24.9,22.1,33.6,65.7,264.6,2,31.4,108.9,3.5,1,65,373.5,5.7,11.5,6.4,1.4,19.3,4.1,41.3,0.9,0.9,1.7
93,Northern Illinois,13,24.5,16.6,28.5,58.2,178.5,1.2,43.2,203.8,4.7,1.7,71.8,382.2,5.3,8.8,10.5,2.1,21.5,4.2,42.8,0.7,0.6,1.3
94,Colorado State,13,24.4,18.2,30,60.5,219.5,1.2,35.6,168.2,4.7,1.5,65.6,387.6,5.9,8.7,7.9,1.3,17.9,6.5,51.5,0.8,0.8,1.5
95,Oregon State,12,24.3,18,30,60,201.4,0.6,40.3,189.2,4.7,2.4,70.3,390.6,5.6,9.2,11.1,2.1,22.3,5.1,45.7,0.4,0.9,1.3
96,Miami (OH),14,24.1,16.1,28.5,56.4,217.4,1.6,29.5,135.3,4.6,1,58,352.7,6.1,9.7,5.9,1.2,16.9,5.3,41.8,0.4,0.9,1.3
97,Oklahoma,13,24,18.1,28.7,63,175.8,1.2,40.1,155.2,3.9,1.3,68.8,331,4.8,7.7,9.2,2.1,19,5.3,45.5,1.2,0.5,1.6
98,Georgia State,12,23.8,22.6,37.4,60.4,255.8,1.8,30.4,133.3,4.4,1.1,67.8,389,5.7,11.8,6.9,2,20.8,5.1,49.1,0.5,1.1,1.6
99,Sam Houston,13,23.8,16.7,26.9,62,168.2,1.2,42.8,179.8,4.2,1.6,69.8,347.9,5,8,9.5,1.4,18.8,4.6,37.9,0.5,0.7,1.2
100,Charlotte,12,23.7,14.8,29.4,50.1,224.1,1.3,32.5,117.1,3.6,1.3,61.9,341.2,5.5,8.7,6.4,2.1,17.2,7.8,65.3,0.6,1.2,1.8
101,Maryland,12,23.7,26.3,41.2,63.8,275.7,1.8,30.8,110.4,3.6,1.3,72,386.1,5.4,13.1,6.3,2.2,21.5,6.4,58.6,0.5,1.2,1.7
102,Utah,12,23.6,16.6,29.8,55.6,199.4,1.7,33.6,130.4,3.9,0.6,63.4,329.8,5.2,8.6,6.8,1.3,16.6,5.4,46.3,0.4,1.4,1.8
103,Nebraska,13,23.5,22.2,33.5,66.2,228.4,1,34.5,130.6,3.8,1.7,67.9,359,5.3,10.5,8.4,2.8,21.8,6.2,53.2,0.5,0.9,1.5
104,Washington,13,23.4,23.2,32.1,72.4,261.7,1.7,32.5,128.8,4,1.1,64.6,390.5,6,11.5,8,1.2,20.7,5.8,51.8,0.3,0.6,0.9
105,Nevada,13,23.1,19,28.2,67.5,212.6,1.5,35.5,163.5,4.6,1.6,63.7,376.1,5.9,9,8.8,1.7,19.5,7.6,71.9,0.5,0.6,1.2
106,Stanford,12,22.8,18.7,30.8,60.5,191.3,1.5,36.4,132.7,3.6,0.9,67.3,323.9,4.8,9.3,7.4,1.8,18.6,5.4,49,0.4,1.4,1.8
107,Virginia,12,22.7,20.5,33.4,61.3,229,1.3,36,131.9,3.7,1.2,69.4,360.9,5.2,9.7,8.3,1.6,19.5,5.2,45.3,0.4,1.2,1.6
108,Central Michigan,12,22.6,13.9,25.2,55.3,163.4,0.9,37.3,166.1,4.5,1.4,62.4,329.5,5.3,6.9,8.8,2.3,18,6.8,60.9,0.8,1,1.8
109,Wisconsin,12,22.6,17.3,30.4,57,196.7,1.2,35.2,153.7,4.4,1.6,65.6,350.3,5.3,8.2,8.7,1.9,18.8,5.3,37.5,0.7,0.8,1.5
110,Massachusetts,12,22.5,15.6,27.3,57.2,181.8,1.2,40.3,163.5,4.1,1.5,67.5,345.3,5.1,7.7,9.8,2.2,19.7,7.3,63.2,0.3,0.5,0.8
111,Hawaii,12,22.3,23.8,40,59.6,268.2,2.1,28.3,97.7,3.4,0.6,68.3,365.8,5.4,12.5,5.9,2.3,20.8,8,70.3,0.3,1.3,1.6
112,Rice,12,22.2,24.4,39.8,61.3,239,1.4,25.1,113.9,4.5,1.2,64.9,352.9,5.4,10.4,6.2,1.8,18.3,7.1,57.4,0.8,1.1,1.8
113,Michigan,13,22,14.6,23.7,61.7,129.1,0.9,37.4,157.2,4.2,1.4,61.1,286.2,4.7,6.6,8.5,1.1,16.2,4,39.5,0.5,1,1.5
114,Arizona,12,21.8,21.8,36.4,60,247.9,1.5,27.9,106.6,3.8,0.9,64.3,354.5,5.5,10.8,6.2,1.5,18.5,6.5,57.6,0.6,1.1,1.7
115,New Mexico State,12,21.6,11.8,26.7,44.1,143.2,1,41.3,180,4.4,1.3,67.9,323.2,4.8,7.3,9.3,2.8,19.3,5.4,48.1,0.9,1,1.9
116,San Diego State,12,21.3,19.5,31.3,62.4,205.7,1.3,35.3,128.9,3.6,1.1,66.6,334.6,5,9.5,6.9,2.1,18.5,9.1,81.8,0.1,0.7,0.8
117,Louisiana-Monroe,12,21,11.2,20.5,54.5,134.8,0.9,38,169.7,4.5,1.4,58.5,304.4,5.2,5.6,8.3,1.6,15.4,5.9,43.3,0.3,1,1.3
118,Louisiana Tech,13,20.9,19.7,31.8,62,223.7,1.4,37.2,109.2,2.9,1.1,69,332.9,4.8,9.7,7.2,1.1,17.9,5.3,50.6,1.1,0.6,1.7
119,Kentucky,12,20.6,13.9,26,53.5,184.8,1.3,36.9,145.6,3.9,0.9,62.9,330.4,5.3,7.6,9.6,2.3,19.4,6.3,52.1,0.5,1.4,1.9
120,Akron,12,20.4,19.5,34.9,55.8,232.4,1.3,28.8,100.3,3.5,0.9,63.8,332.8,5.2,9.8,6.2,2.1,18,6.3,48.7,0.8,0.8,1.7
121,Temple,12,19.6,20.2,34.3,58.9,216,1.3,32.2,92.8,2.9,0.8,66.4,308.8,4.6,9.7,4.6,1.3,15.6,5.6,45.1,0.9,1.2,2.1
122,UTEP,12,19.5,18.6,30.4,61.1,200,1.3,36.5,120.8,3.3,0.8,66.9,320.8,4.8,7.9,7.2,1.6,16.7,5.7,50.9,0.6,1,1.6
123,Michigan State,12,19.3,17.7,29.4,60.1,218.1,1.1,32.8,116.3,3.6,0.9,62.2,334.4,5.4,9.2,8.3,1.4,18.8,6.7,63.3,0.6,1,1.6
124,Wyoming,12,19.3,15.1,28.9,52.2,189.4,0.9,38.3,137.8,3.6,1.2,67.3,327.3,4.9,8.1,7.2,2.1,17.3,5.5,49.8,0.4,0.9,1.3
125,Air Force,12,18.9,5.2,11.5,44.9,89.8,0.4,56.1,224,4,2,67.6,313.8,4.6,3.3,13.3,1.4,18,3.2,28.8,0.4,0.8,1.3
126,UCLA,12,18.4,21.6,33.2,65.1,242.2,1.4,28.2,86.6,3.1,0.3,61.3,328.8,5.4,11.3,5.2,1.5,18,8.2,68.9,0.5,0.9,1.4
127,Middle Tennessee State,12,18.1,22.8,35.7,63.8,261.1,1.3,27.9,89,3.2,0.8,63.6,350.1,5.5,11.4,4.8,2,18.2,7.3,61.3,0.8,0.8,1.6
128,Northwestern,12,17.8,17.5,32.6,53.7,185.9,0.6,29.6,98.5,3.3,1,62.2,284.4,4.6,8.3,6.3,1.3,16,4.8,38.3,0.6,0.9,1.5
129,Kennesaw State,12,16.5,13,24.8,52.5,136.3,0.5,37.7,114.6,3,1.1,62.4,250.9,4,5.8,6.6,1.3,13.7,5.6,46.3,0.3,1.2,1.5
130,Purdue,12,15.8,15.8,27.4,57.4,183.9,1.1,28.9,115.3,4,0.8,56.3,299.3,5.3,8.3,5.4,0.9,14.6,5.5,51.8,0.8,0.8,1.6
131,Florida State,12,15.4,14.9,29.6,50.4,180.3,0.9,31.5,89.9,2.9,0.7,61.1,270.3,4.4,8.6,5.3,1.3,15.2,5.6,47.9,0.8,1.1,1.8
132,Southern Mississippi,12,15.3,13.8,26.4,52.4,174.9,0.6,34.3,108.6,3.2,1.1,60.8,283.5,4.7,6.3,7,2.2,15.4,6,48.3,1,1.4,2.4
133,Houston,12,14,15.2,23.3,65,152.7,0.8,35.8,135.4,3.8,0.8,59.2,288.1,4.9,6.4,7.3,1.3,15.1,5.5,51.9,0.8,1.4,2.3
134,Kent State,12,13.9,11.6,24.5,47.3,156.3,1.5,32.6,76.9,2.4,0.3,57.1,233.3,4.1,5.8,5.1,2.1,13,4.9,35.8,0.6,1.1,1.7
