first_name,last_name,suffix,Class,Pos,college_name,year
Clune,Van,Andel,JR,K,Arkansas State,2024
Jake,St.,Andre,JR,LB,Louisiana,2024
Luis,Carlos,Aranda,JR,OL,UTEP,2024
John,Ross,Ashley,SO,CB,Ole Miss,2024
Carson,de,Avila,JR,S,Navy,2024
Walter,Young,Bear,SR,OL,Tulsa,2024
Brady,Van,Bennekum,SO,LB,San Jose State,2024
John,David,Black,SO,QB,East Carolina,2024
Brett,Le,Blanc,JR,LS,Missouri,2024
Jah,Jah,Boyd,SO,DB,Indiana,2024
Michael,Van,Buren,SO,QB,Mississippi State,2024
Blake,Van,Buren,JR,TE,Northwestern,2024
Zach,Jackson,CLEM,SR,WR,Clemson,2024
Delfin,Xavier,Castillo,SR,OL,Vanderbilt,2024
John,Hoyet,Chance,SO,P,Louisiana Tech,2024
Ha'aheo,Dela,Cruz,SO,DL,Hawaii,2024
John,Henry,Daley,JR,DE,Utah,2024
Jordan,Van,Den,JR,DT,Georgia Tech,2024
Charlie,Von,Der,SO,K,Arkansas,2024
Carson,Van,Dinter,SO,DB,Iowa State,2024
Tyler,Van,Dyke,SR,QB,Wisconsin,2024
Evan,Van,Dyn,JR,LB,Wisconsin,2024
Jay,Jay,Etheridge,SO,WR,Kent State,2024
John,Henry,Flatt,SO,OL,Auburn,2024
Ismael,Smith,Flores,SO,LB,Nebraska,2024
John,Paul,Flores,SR,OL,Liberty,2024
Luke,Yau,Gale,SO,DE,Buffalo,2024
Pierce,St,Geme,SO,WR,Bowling Green,2024
Harrison,Saint,Germain,JR,TE,Virginia Tech,2024
Jace,J.,Gilbert,SO,DL,Iowa State,2024
Na'eem,Abdul-Rahim,Gladding,SO,WR,Old Dominion,2024
John,Curtis,Goodman,JR,OT,Louisiana-Monroe,2024
Leonard,St.,Gourdin,SR,DB,Massachusetts,2024
Nick,Del,Grande,JR,OL,Coastal Carolina,2024
"\"Xavion","\"\"Tutu\"\"","Griffin\"",SO,DB,Western Kentucky,2024
Tom,von,Grote,SO,QB,North Texas,2024
John,Michael,Gyllenborg,SR,TE,Wyoming,2024
Sam,Vander,Haar,JR,P,BYU,2024
Sammy,El,Hadidi,SR,LS,Rutgers,2024
Shane,Payton,Hodges,FR,DE,Jacksonville State,2024
John,Wallace,Holladay,SO,WR,Louisiana-Monroe,2024
Kimo,Holo,Holt-Mossman,SR,DB,Hawaii,2024
Michael,De,Hoyos,JR,CB,SMU,2024
Sterlng,Lane,II,SR,DE,Arizona,2024
Brian,Doneghy,II,SR,RB,Cincinnati,2024
Marlon,Corey,II,JR,OL,Coastal Carolina,2024
Antonio,Molder,II,SO,DB,Coastal Carolina,2024
Vince,Brown,II,SR,TE,Colorado State,2024
Al,Wooten,II,SR,RB,Duke,2024
James,Hopson,II,SR,WR,Duke,2024
Brian,Parker,II,SR,OL,Duke,2024
Melvin,Swindle,II,SR,DL,Eastern Michigan,2024
Terrence,Ferguson,II,SR,OL,Florida State,2024
Fentrell,Cypress,II,SR,DB,Florida State,2024
Kevin,Knowles,II,SR,DB,Florida State,2024
Roderick,Robinson,II,JR,RB,Georgia,2024
Damon,Wilson,II,JR,LB,Georgia,2024
Fuches,Lewis,II,SR,DL,Georgia State,2024
Kenyatta,Watson,II,SR,S,Georgia State,2024
Derek,Boyd,II,JR,LB,Hawaii,2024
Virdel,Edwards,II,SR,DB,Hawaii,2024
Cole,McConathy,II,SO,DL,Miami (FL),2024
Danny,Zarco,II,SO,OL,Miami (OH),2024
William,Goodvine,II,SO,DL,Miami (OH),2024
Kenric,Lanier,II,SO,WR,Minnesota,2024
Greg,Johnson,II,JR,CB,Navy,2024
Hoke,Smith,II,JR,OC,Navy,2024
Dwight,Bootle,II,SO,DB,Nebraska,2024
Nate,Burleson,II,SO,WR,Nevada,2024
Nijrell,Eason,II,SO,DB,Nevada-Las Vegas,2024
Michael,Robinson,II,SR,DB,Rutgers,2024
Dante,Wesley,II,SO,CB,SMU,2024
Phillippe,Wesley,II,SR,WR,San Diego State,2024
Reggie,Johnson,II,SR,LB,South Florida,2024
Michael,Williams,II,SR,DE,South Florida,2024
David,Amador,II,JR,WR,UTSA,2024
Jamaal,Young,II,SO,WR,Arizona State,2024
Keith,Abney,II,JR,DB,Arizona State,2024
Chris,Johnson,II,SO,DB,Arizona State,2024
Joseph,McGinnis,II,JR,DB,Arizona State,2024
Mike,Sharpe,II,SR,RB,Arkansas State,2024
Marvin,Ham,II,SR,LB,Arkansas State,2024
Bryan,Whitehead,II,SR,DE,Arkansas State,2024
Dion,Smith,II,SO,DL,Ball State,2024
DD,Snyder,II,SR,DB,Ball State,2024
RJ,Garcia,II,SR,WR,Bowling Green,2024
Marcus,Scott,II,JR,DB,California,2024
DeQuinder,Williams,II,SO,DB,Charlotte,2024
Joseph,Roberto,II,SO,LB,Clemson,2024
B.J.,Green,II,SR,DL,Colorado,2024
Richard,Abood,II,SR,K,Florida,2024
John,Bock,II,SR,OL,Florida International,2024
Karim,McCune,II,SR,WR,Fresno State,2024
Dexter,Williams,II,SR,QB,Georgia Southern,2024
Marc,Stampley,II,SR,DB,Georgia Southern,2024
Corey,Robinson,II,SR,OL,Georgia Tech,2024
Cedric,Franklin,II,SO,DB,Georgia Tech,2024
Re'Shaun,Sanford,II,SO,RB,Houston,2024
Thomathan,Good,II,SR,DL,Houston,2024
Maurice,Williams,II,SO,DB,Houston,2024
Mario,Sanders,II,JR,WR,Illinois,2024
Shawn,Asbury,II,SR,DB,Indiana,2024
Antonio,Carter,II,SR,S,Jacksonville State,2024
Fred,Davis,II,SR,CB,Jacksonville State,2024
Fred,Farrier,II,SR,WR,Kentucky,2024
Kenyatta,Hardge,II,SO,DL,Kentucky,2024
Jerod,Smith,II,SO,DL,Kentucky,2024
Connie,Hewitt,II,SO,TE,Liberty,2024
Shadwel,Nkuba,II,SR,CB,Louisiana,2024
Marc,Britt,II,SR,WR,Louisiana-Monroe,2024
Ruban,Hyppolite,II,SR,LB,Maryland,2024
Mao,Glynn,II,SR,OL,Massachusetts,2024
Paul,Billups,II,SO,WR,North Carolina,2024
Reggie,Love,II,SO,DB,North Carolina,2024
Brian,Nelson,II,SO,CB,North Texas,2024
Kerry,Williams,II,SO,CB,North Texas,2024
Adrian,Thomas,II,SO,S,Northern Illinois,2024
Joseph,Himon,II,JR,RB,Northwestern,2024
CJ,Johnson,II,SR,WR,Northwestern,2024
Hayden,Eligon,II,SO,WR,Northwestern,2024
Jason,Reynolds,II,JR,LB,Northwestern,2024
Rod,Heard,II,SR,S,Notre Dame,2024
Rodney,Harris,II,JR,WR,Ohio,2024
Michael,Mack,II,SR,CB,Ohio,2024
Nigel,Smith,II,SO,DL,Oklahoma,2024
Raymond,Gay,II,SR,CB,Oklahoma State,2024
Will,Jones,II,SR,S,Old Dominion,2024
Marcus,Harper,II,SR,OL,Oregon,2024
Jermaine,Terry,II,SR,TE,Oregon State,2024
Elliot,Washington,II,JR,CB,Penn State,2024
Joseph,Jefferson,II,JR,DB,Purdue,2024
Michael,Phoenix,II,JR,WR,Sam Houston,2024
Terrence,Guillory,II,FR,WR,Sam Houston,2024
James,Dawn,II,JR,OL,Sam Houston,2024
Demetrius,Knight,II,SR,LB,South Carolina,2024
Oronde,Gadsden,II,SR,TE,Syracuse,2024
Chris,Brazzell,II,JR,WR,Tennessee,2024
Mike,Bethea,II,SR,DL,Tennessee,2024
Johntay,Cook,II,JR,WR,Texas,2024
Reuben,Fatheree,II,SR,OL,Texas A&M,2024
Terrence,Cooks,II,SR,LB,Texas Christian,2024
Johncarlos,Miller,II,JR,TE,Texas Tech,2024
Damon,Ollison,II,SR,LB,Toledo,2024
Wayne,Peart,II,SO,DT,Toledo,2024
Rodrek,Williams,II,SR,DB,Tulane,2024
Baron,Franks,II,SR,OL,UAB,2024
Sheldon,"Arnold,",II,SR,DB,UCF,2024
Anthony,Frias,II,SR,RB,UCLA,2024
Desman,Stephens,II,SO,LB,USC,2024
Derrell,Johnson,II,JR,OL,Wake Forest,2024
Eldrick,Robinson,II,JR,LB,Wake Forest,2024
Sam,Adams,II,SR,RB,Washington,2024
Russell,Davis,II,SR,DE,Washington,2024
JD,Davis,II,SO,QB,Western Michigan,2024
Rob,Booker,II,SO,TE,Wisconsin,2024
Tim,Keenan,III,SR,DL,Alabama,2024
Jordan,McCord,III,SO,WR,Arizona,2024
Lloyd,Benson,III,JR,WR,Army,2024
Elinus,Noel,III,SR,DL,Baylor,2024
Tevin,Williams,III,SR,CB,Baylor,2024
Patrick,Clacks,III,SO,WR,Buffalo,2024
Eddie,Pleasant,III,JR,DB,Buffalo,2024
Jesse,Prewitt,III,SR,WR,Central Michigan,2024
Fernando,Sanchez,III,SR,LB,Central Michigan,2024
Brian,Simms,III,SO,LB,Cincinnati,2024
John,Grant,III,JR,TE,Coastal Carolina,2024
Payne,Williams,III,SO,K,Colorado State,2024
Beau,Lilly,III,JR,WR,Duke,2024
Leon,Griffin,III,JR,S,Duke,2024
JB,Mitchell,III,SR,WR,Eastern Michigan,2024
Robert,Hammond,III,JR,K,Florida Atlantic,2024
Chris,Tooley,III,JR,CB,Florida Atlantic,2024
Mike,Wright,III,SO,S,Florida Atlantic,2024
Ricky,Knight,III,SO,DB,Florida State,2024
Charles,Lester,III,SO,DB,Florida State,2024
Anthony,Evans,III,JR,WR,Georgia,2024
Michael,Jackson,III,SR,WR,Georgia,2024
Derrick,Maxey,III,JR,S,Georgia State,2024
Jackie,Johnson,III,SR,DL,Hawaii,2024
James,Monds,III,JR,DB,Middle Tennessee State,2024
James,Madison,III,SO,WR,Missouri,2024
Thomas,Fidone,III,SR,TE,Nebraska,2024
Michael,Booker,III,SR,LB,Nebraska,2024
Bobby,Arnold,III,JR,S,New Mexico,2024
PJ,Johnson,III,SR,WR,New Mexico State,2024
Henry,Davis,III,JR,DL,New Mexico State,2024
Billy,Walton,III,SO,DL,SMU,2024
J.D.,Coffey,III,SR,S,San Diego State,2024
Gregory,McClendon,III,SO,LB,San Jose State,2024
Jean,Boyd,III,SR,DB,San Jose State,2024
Rico,Watson,III,SR,DL,South Florida,2024
C.J.,Turner,III,SO,LB,Tulsa,2024
John,Burris,III,SR,CB,UTEP,2024
Will,Henderson,III,SO,RB,UTSA,2024
Johnny,Bowens,III,SO,DL,UTSA,2024
Steven,Losoya,III,SR,OL,Vanderbilt,2024
Glenn,Seabrooks,III,SO,DL,Vanderbilt,2024
George,Hart,III,SR,RB,Western Kentucky,2024
Jean,Louis,III,SO,WR,Akron,2024
Paul,Lewis,III,SR,CB,Akron,2024
Randy,Marion,III,SO,LB,Appalachian State,2024
Harold,Brooks,III,SR,DL,Arizona State,2024
Albert,Smith,III,SO,DE,Arizona State,2024
James,Reed,III,SR,CB,Arkansas State,2024
R.J.,Mukes,III,JR,WR,Ball State,2024
Lucian,Anderson,III,SO,QB,Bowling Green,2024
Frederick,Williams,III,SO,OL,California,2024
Joseph,Bearns,III,SR,TE,Charlotte,2024
Robert,Gunn,III,JR,K,Clemson,2024
Lee,Molette,III,SR,DB,Connecticut,2024
Michael,Edwards,III,SR,LB,East Carolina,2024
Eugene,Wilson,III,JR,WR,Florida,2024
Scott,Isacks,III,SR,TE,Florida,2024
Gregory,Smith,III,SO,S,Florida,2024
Eddie,Walls,III,JR,DL,Florida International,2024
Victor,Evans,III,JR,DB,Florida International,2024
Robert,Edwards,III,JR,RB,Georgia Southern,2024
Alan,Woods,III,SO,RB,Georgia Southern,2024
Steven,Scott,III,SO,OL,Illinois,2024
Vernon,Woodward,III,SO,DB,Illinois,2024
Patrick,Mahoney,III,SO,LS,Illinois,2024
Alonza,Barnett,III,SO,QB,James Madison,2024
Lloyd,Summerall,III,SR,DL,James Madison,2024
Harry,Stewart,III,SO,RB,Kansas,2024
Joe,Hall,III,JR,CB,Kansas State,2024
Earl,Woods,III,FR,QB,Kennesaw State,2024
Greg,Penn,III,SR,LB,LSU,2024
Bernard,Causey,III,SO,CB,LSU,2024
Larry,Jones,III,JR,DE,Liberty,2024
KJ,Riley,III,SO,DE,Louisiana,2024
Alvino,Carbajal,III,SR,DL,Louisiana-Monroe,2024
Monroe,Beard,III,SR,LB,Marshall,2024
Lloyd,Irvin,III,SO,DB,Maryland,2024
Ronnie,"Royal,",III,SO,S,North Carolina State,2024
Harold,Nash,III,SR,S,North Texas,2024
Albert,Kunickis,III,JR,RB,Northwestern,2024
Howard,Cross,III,SR,DL,Notre Dame,2024
Anthony,Tyus,III,SR,RB,Ohio,2024
Reggie,Powers,III,SO,DB,Oklahoma,2024
Emmett,Jones,III,SO,DB,Oklahoma,2024
Charles,Christopher,III,SO,LB,Oklahoma State,2024
Anthony,Robinson,III,SO,S,Ole Miss,2024
Jimmy,Valsin,III,SR,WR,Oregon State,2024
Harrison,Wallace,III,SR,WR,Penn State,2024
Reggie,Love,III,SR,RB,Purdue,2024
Darrick,Bladsoe,III,FR,WR,Sam Houston,2024
Oscar,Adaway,III,SR,RB,South Carolina,2024
Neil,Savage,III,SO,RB,South Carolina,2024
Buddy,Mack,III,SR,DB,South Carolina,2024
Berry,Buxton,III,SR,DB,Syracuse,2024
Tommy,Winton,III,JR,WR,Tennessee,2024
Larry,Johnson,III,JR,OL,Tennessee,2024
Rickey,Gibson,III,JR,DB,Tennessee,2024
Melvin,Hills,III,SO,DL,Texas,2024
Ronnie,Crosby,III,SO,RB,Texas A&M,2024
Moose,Muhammad,III,SR,WR,Texas A&M,2024
Trey,Zuhn,III,SR,OL,Texas A&M,2024
Will,Lee,III,SR,DB,Texas A&M,2024
Michael,Boudoin,III,SR,DB,Texas State,2024
Harvey,Dyson,III,JR,DL,Texas Tech,2024
Charles,Esters,III,SR,DL,Texas Tech,2024
Oliver,Miles,III,SO,DB,Texas Tech,2024
RJ,Johnson,III,SO,QB,Toledo,2024
Willie,Shaw,III,SR,RB,Toledo,2024
Junior,Vandeross,III,SR,WR,Toledo,2024
Arnold,Barnes,III,JR,RB,Tulane,2024
Kevin,Adams,III,JR,DB,Tulane,2024
Ricky,Lee,III,JR,CB,UAB,2024
Ray,Thornton,III,SR,S,UAB,2024
Gary,Smith,III,SR,DL,UCLA,2024
Larry,Edwards,III,SO,LB,UCLA,2024
Ben,Smiley,III,SR,DE,Virginia,2024
Joseph,Holland,III,SR,DE,Virginia,2024
William,Watson,III,SO,QB,Virginia Tech,2024
Mose,Phillips,III,JR,S,Virginia Tech,2024
Andrew,Hines,III,SO,LB,Wake Forest,2024
Kenny,Worthy,III,SO,DB,Washington State,2024
Raleigh,Collins,III,JR,S,West Virginia,2024
Versie,Walker,III,JR,CB,Western Michigan,2024
Ronald,Delancy,III,SR,CB,Wisconsin,2024
Carl,Williams,IV,JR,CB,Baylor,2024
Henry,Belvin,IV,SR,QB,Duke,2024
Harold,Stubbs,IV,JR,DB,Florida State,2024
Ellis,Robinson,IV,SO,DB,Georgia,2024
Tommy,Kinsler,IV,JR,OL,Miami (FL),2024
Andrew,Brinson,IV,SO,DB,Michigan State,2024
John,Howse,IV,SR,S,Middle Tennessee State,2024
James,Shellman,IV,SR,CB,Middle Tennessee State,2024
Albert,Reese,IV,SR,OL,Mississippi State,2024
Willis,McGahee,IV,SO,LB,Nebraska,2024
DJ,Gordon,IV,SR,LB,South Florida,2024
George,Brown,IV,SO,DB,South Florida,2024
Dallas,Walker,IV,SR,DL,Western Kentucky,2024
Malcom,DeWalt,IV,SR,DB,Akron,2024
Curlee,Thomas,IV,JR,DL,California,2024
Lawrence,Wright,IV,SO,QB,Florida,2024
Troy,Stevenson,IV,SO,DB,Georgia Tech,2024
Joseph,Manjack,IV,SR,WR,Houston,2024
TJ,Crews,IV,SO,QB,Kansas,2024
Hardley,Gilmore,IV,SO,WR,Kentucky,2024
Wallace,Foster,IV,SO,CB,LSU,2024
Maxie,Baudoin,IV,SR,DL,Louisiana,2024
Frank,Covey,IV,SO,WR,Northwestern,2024
Ulysses,Bentley,IV,SR,RB,Ole Miss,2024
Melvin,Jordan,IV,JR,LB,Oregon State,2024
Larry,DeBose,IV,SO,RB,Rice,2024
Ed,Smith,IV,SR,DL,South Alabama,2024
William,Felton,IV,SO,LB,South Alabama,2024
Sammy,Morris,IV,SR,DB,Texas Tech,2024
Robert,Freeman,IV,SR,WR,Utah State,2024
Johnny,Williams,IV,SO,OL,West Virginia,2024
Hammond,Russell,IV,SR,DL,West Virginia,2024
Jacob,De,Jesus,SR,WR,Nevada-Las Vegas,2024
Parker,St.,John,SR,WR,Air Force,2024
Jalen,St.,John,SR,OL,Nevada-Las Vegas,2024
Garvin,St.,John,SO,LB,Syracuse,2024
Tanner,Duke,Johnson,JR,S,Mississippi State,2024
"\"Fred","\"\"JayR\"\"","Johnson\"",SO,LB,South Carolina,2024
Ny'Len,Ramon,Jones,SR,LB,Old Dominion,2024
Ray,Ray,Joseph,JR,WR,Miami (FL),2024
Jean,Claude,Joseph,JR,LB,Tulane,2024
Eric,Brantley,Jr,SO,DL,Florida Atlantic,2024
Quentis,Griffin,Jr,JR,OL,Louisiana-Monroe,2024
Anthony,Dunn,Jr,SR,DL,Toledo,2024
Carlos,Mitchell,Jr,SO,CB,Western Michigan,2024
Lukia,"Rawls,",Jr.,JR,DL,Air Force,2024
Jerome,Gaillard,Jr.,SR,DB,Air Force,2024
Jay,Loper,Jr.,SR,WR,Alabama,2024
Damon,Payne,Jr.,SR,DL,Alabama,2024
Dre,Kirkpatrick,Jr.,SO,DB,Alabama,2024
Tyrell,Reed,Jr.,JR,RB,Arkansas,2024
Stephen,Dix,Jr.,SR,LB,Arkansas,2024
Xavian,Sorey,Jr.,SR,LB,Arkansas,2024
Fernando,Carmona,Jr.,SR,OT,Arkansas,2024
Quincy,Rhodes,Jr.,JR,DE,Arkansas,2024
Corey,Singleton,Jr.,JR,RB,Army,2024
Larry,Pickett,Jr.,SO,S,Army,2024
Ketron,Jackson,Jr.,SR,WR,Baylor,2024
David,Marshall,Jr.,SR,DL,Baylor,2024
Corey,Gordon,Jr.,JR,S,Baylor,2024
LeVar,Thornton,Jr.,JR,CB,Baylor,2024
MJ,Artmore,Jr.,JR,CB,Baylor,2024
Victor,Nelson,Jr.,SR,DB,Boston College,2024
Bert,Emanuel,Jr.,JR,QB,Central Michigan,2024
Mark-Allen,Gay,Jr.,SO,DB,Central Michigan,2024
Barry,Jackson,Jr.,SO,WR,Cincinnati,2024
Antwan,Peek,Jr.,JR,S,Cincinnati,2024
Derrick,Brown,Jr.,SO,LB,Duke,2024
Nick,Morris,Jr.,SR,LB,Duke,2024
Vincent,Anthony,Jr.,SR,DE,Duke,2024
Terry,Simmons,Jr.,JR,DT,Duke,2024
Terry,Lockett,Jr.,SR,WR,Eastern Michigan,2024
Jere,Getzinger,Jr.,SR,TE,Eastern Michigan,2024
David,Carter,Jr.,SR,DB,Eastern Michigan,2024
Tremonte,"Underwood,",Jr.,SO,RB,Florida Atlantic,2024
Jabari,Smith,Jr.,SO,WR,Florida Atlantic,2024
Leon,"Washington,",Jr.,SO,WR,Florida Atlantic,2024
Prince,Boyd,Jr.,SR,DL,Florida Atlantic,2024
Richard,Thomas,Jr.,JR,DL,Florida Atlantic,2024
Samuel,Singleton,Jr.,SO,RB,Florida State,2024
Robert,Scott,Jr.,SR,OL,Florida State,2024
Lamont,Green,Jr.,SO,DL,Florida State,2024
Marvin,Jones,Jr.,SR,DL,Florida State,2024
Omar,Graham,Jr.,JR,LB,Florida State,2024
Peter,Warrick,Jr.,SR,DB,Florida State,2024
Dwight,Phillips,Jr.,SO,RB,Georgia,2024
Gabe,Harris,Jr.,JR,LB,Georgia,2024
Smael,Mondon,Jr.,SR,LB,Georgia,2024
DJ,Murray,Jr.,SO,RB,Georgia State,2024
Chris,Davis,Jr.,SR,DE,Georgia State,2024
Carlito,Capanang,Jr.,SR,WR,Hawaii,2024
Armando,Lewis,Jr.,SO,WR,Hawaii,2024
Chad,Owens,Jr.,JR,WR,Hawaii,2024
Aristides,Angelo,Jr.,JR,QB,Miami (FL),2024
Mark,Fletcher,Jr.,JR,RB,Miami (FL),2024
Chris,Johnson,Jr.,JR,RB,Miami (FL),2024
Antonio,Tripp,Jr.,JR,OL,Miami (FL),2024
Rueben,Bain,Jr.,JR,DL,Miami (FL),2024
Booker,"Pickett,",Jr.,SO,DL,Miami (FL),2024
Raul,Aguirre,Jr.,JR,LB,Miami (FL),2024
Bobby,Washington,Jr.,JR,LB,Miami (FL),2024
Romanas,"Frederique,",Jr.,SO,DB,Miami (FL),2024
Daryl,Porter,Jr.,SR,CB,Miami (FL),2024
Antonio,Gates,Jr.,JR,WR,Michigan State,2024
Justin,Denson,Jr.,SO,DB,Michigan State,2024
Kevin,Coleman,Jr.,SR,WR,Mississippi State,2024
Jimothy,Lewis,Jr.,SO,OL,Mississippi State,2024
Joseph,Head,Jr.,SO,DL,Mississippi State,2024
Jaden,Abongo,Jr.,JR,WR,Missouri,2024
